longitude,latitude,time,
-90.13099286,38.85795737,2024-12-30 12:46:00,
-90.13097199,38.85794455,2024-12-30 12:51:00,
-90.13096652,38.85793624,2024-12-30 12:52:00,
-90.13097958,38.8579362,2024-12-30 12:54:00,
-90.1309746,38.85792818,2024-12-30 12:55:00,
-90.13097909,38.85793253,2024-12-30 12:57:00,
-90.13095935,38.85793083,2024-12-30 12:58:00,
-90.13097282,38.85794786,2024-12-30 13:00:00,
-90.13089857,38.85785646,2024-12-30 13:04:00,
-90.13091728,38.85792018,2024-12-30 13:06:00,
-90.130961,38.85794322,2024-12-30 13:08:00,
-90.13090077,38.8578862,2024-12-30 13:21:00,
-90.13093657,38.8579257,2024-12-30 13:25:00,
-90.13091907,38.85789957,2024-12-30 13:28:00,
-90.13093314,38.85791239,2024-12-30 13:31:00,
-90.13089129,38.85789871,2024-12-30 13:33:00,
-90.13093235,38.85791006,2024-12-30 13:37:00,
-90.13089139,38.85788923,2024-12-30 13:38:00,
-90.13089814,38.85788498,2024-12-30 13:39:00,
-90.13087281,38.85787194,2024-12-30 13:48:00,
-90.13086478,38.85785742,2024-12-30 13:53:00,
-90.13087425,38.8579037,2024-12-30 14:01:00,
-90.13084707,38.8578602,2024-12-30 14:02:00,
-90.13089072,38.85790352,2024-12-30 14:08:00,
-90.13080583,38.85789405,2024-12-30 14:31:00,
-90.13080576,38.85788794,2024-12-30 14:44:00,
-90.13079007,38.85788001,2024-12-30 14:45:00,
-90.13079675,38.85787679,2024-12-30 14:46:00,
-90.13079174,38.85786574,2024-12-30 14:48:00,
-90.13082391,38.85787212,2024-12-30 14:49:00,
-90.13076434,38.85786234,2024-12-30 15:08:00,
-90.13072544,38.85783797,2024-12-30 15:19:00,
-90.13062378,38.85777936,2024-12-30 15:31:00,
-90.12784863,38.85741783,2024-12-30 18:07:00,
-90.12927345,38.85858046,2025-01-03 09:45:00,
-90.13339678,38.86077521,2025-01-04 13:46:00,
-90.13326837,38.8607542,2025-01-04 13:47:00,
-90.13305093,38.86077128,2025-01-04 13:48:00,
-90.13297143,38.86066244,2025-01-04 13:49:00,
-90.13267571,38.86048329,2025-01-04 13:50:00,
-90.1324462,38.86047016,2025-01-04 13:51:00,
-90.13218261,38.86045106,2025-01-04 13:52:00,
-90.13202129,38.86020987,2025-01-04 13:55:00,
-90.1320234,38.86016669,2025-01-04 13:55:00,
-90.13203166,38.86010327,2025-01-04 13:56:00,
-90.13190981,38.85974145,2025-01-04 14:00:00,
-90.13190302,38.85971839,2025-01-04 14:03:00,
-90.13186094,38.85967527,2025-01-04 14:05:00,
-90.13185309,38.85963097,2025-01-04 14:09:00,
-90.13179685,38.8595111,2025-01-04 14:10:00,
-90.13153382,38.85917594,2025-01-04 14:15:00,
-90.13141507,38.8591304,2025-01-04 14:18:00,
-90.131272,38.85910512,2025-01-04 14:19:00,
-90.13099791,38.85911321,2025-01-04 14:22:00,
-90.13099553,38.8591053,2025-01-04 14:24:00,
-90.13098772,38.85910019,2025-01-04 14:26:00,
-90.13097522,38.85910584,2025-01-04 14:27:00,
-90.13076651,38.85909576,2025-01-04 14:28:00,
-90.12974498,38.85891196,2025-01-04 15:03:00,
-90.12947538,38.85853173,2025-01-04 15:38:00,
-90.12739755,38.85632893,2025-02-25 09:02:00,
-90.12783801,38.85649369,2025-02-25 09:07:00,
-90.12785359,38.8564698,2025-02-25 09:09:00,
-90.12779589,38.85637076,2025-02-25 09:20:00,
-90.12781031,38.8563627,2025-02-25 09:28:00,
-90.12809084,38.85656545,2025-02-25 09:29:00,
-90.12794963,38.85659927,2025-02-25 09:35:00,
-90.12796951,38.85638917,2025-02-25 09:37:00,
-90.12822356,38.85659484,2025-02-25 09:49:00,
-90.12833717,38.85655648,2025-02-25 09:49:00,
-90.1283252,38.85645492,2025-02-25 09:50:00,
-90.12834361,38.8565295,2025-02-25 09:55:00,
-90.12841951,38.85665214,2025-02-25 09:57:00,
-90.12829779,38.85671799,2025-02-25 10:03:00,
-90.1284912,38.85691146,2025-02-25 10:05:00,
-90.1284881,38.856903,2025-02-25 10:06:00,
-90.12846035,38.85700872,2025-02-25 10:08:00,
-90.12844223,38.85696488,2025-02-25 10:11:00,
-90.12855822,38.8570536,2025-02-25 10:15:00,
-90.12878875,38.85725273,2025-02-25 10:33:00,
-90.1285905,38.85713853,2025-02-25 10:34:00,
-90.12861874,38.85710379,2025-02-25 10:35:00,
-90.12861543,38.85707287,2025-02-25 10:38:00,
-90.12867401,38.85706722,2025-02-25 10:41:00,
-90.12879984,38.85718082,2025-02-25 10:44:00,
-90.12878525,38.85714212,2025-02-25 10:45:00,
-90.12886173,38.85726696,2025-02-25 10:46:00,
-90.12882913,38.857186,2025-02-25 10:49:00,
-90.12888046,38.85729907,2025-02-25 10:50:00,
-90.12883432,38.85720982,2025-02-25 10:52:00,
-90.12894369,38.85736299,2025-02-25 11:01:00,
-90.12881624,38.85722253,2025-02-25 11:02:00,
-90.12880124,38.85722042,2025-02-25 11:03:00,
-90.12890014,38.85739782,2025-02-25 11:07:00,
-90.12898706,38.85738601,2025-02-25 11:19:00,
-90.12906229,38.85746593,2025-02-25 11:21:00,
-90.12903782,38.8574258,2025-02-25 11:25:00,
-90.12901555,38.85737499,2025-02-25 11:29:00,
-90.12901152,38.8573647,2025-02-25 11:31:00,
-90.1290697,38.85738985,2025-02-25 11:31:00,
-90.12909381,38.85743517,2025-02-25 11:32:00,
-90.12915848,38.85747532,2025-02-25 11:34:00,
-90.12895611,38.85733839,2025-02-25 11:37:00,
